oa_code,LOAC_supgrp_cd,KMeans_60pca,Queens_SFCM_60kvars,KNN8_SFCM_60kvars,MDT_SFCM_60kvars,Queens_SFCM_60pca,KNN8_SFCM_60pca,MDT_SFCM_60pca,Queens_GCN_167zscores,KNN8_GCN_167zscores,MDT_GCN_167zscores,Queens_GSCN_MeanAgg_167zscores,Queens_GSCN_MeanAgg_60kvars,Queens_GSonly_MeanAgg_167zscores,KNN8_GSCN_AttentionalAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores_RW8,KNN8_GSCN_MaxPoolingAgg_167zscores_RW28,KNN8_GSCN_MeanAgg_167zscores,KNN8_GSCN_MeanAgg_60kvars,KNN8_GSCN_MeanPoolingAgg_167zscores,KNN8_GSonly_MeanAgg_167zscores,KNN8_Att2Vec_167zscores,KNN8_Node2Vec_167zscores,MDT_GSCN_MeanAgg_167zscores,MDT_GSCN_MeanAgg_60kvars,Queens_NAGAE_d1,KNN8_NAGAE_d1,MDT_NAGAE_d1,Queens_NAGAE_d2,KNN8_NAGAE_d2,MDT_NAGAE_d2
E00001159,B,0,0,0,4,2,2,3,5,7,7,3,2,2,3,2,6,3,7,0,3,0,2,4,1,6,5,5,6,1,5,3
E00001160,C,5,0,0,6,2,2,5,5,7,7,3,0,2,3,3,0,0,6,4,3,0,7,6,5,3,5,5,7,1,1,7
E00001161,G,5,0,4,5,2,2,3,5,7,7,6,4,2,3,3,0,0,3,0,3,0,7,5,1,5,5,5,6,1,1,3
E00001162,B,0,0,0,2,3,3,3,5,7,4,3,7,2,3,2,6,3,7,0,5,0,2,7,1,3,5,5,6,1,1,3
E00001163,G,4,4,4,6,5,5,3,5,7,7,3,6,2,3,4,7,4,3,1,3,0,4,6,4,3,5,5,7,1,5,7
E00001164,G,5,0,0,5,2,2,3,5,7,7,5,6,2,3,3,0,0,6,4,3,0,7,0,4,3,5,5,6,1,5,7
E00001165,G,5,0,0,6,2,2,0,5,7,7,5,6,2,3,4,7,5,0,4,3,0,4,0,4,3,5,5,3,1,1,7
E00001166,G,5,0,0,2,3,2,3,5,7,7,3,7,2,3,4,7,4,3,0,3,0,4,6,3,3,5,5,1,1,1,3
E00001167,F,7,4,4,6,0,2,0,3,0,0,5,6,2,1,7,5,7,0,1,1,0,1,2,5,2,5,5,3,1,5,7
E00001168,F,4,4,4,6,5,5,0,5,7,7,5,6,2,3,4,7,4,3,1,3,0,4,6,5,3,0,0,7,1,5,7
E00001169,F,4,4,4,6,0,0,0,1,4,2,5,6,2,2,4,7,4,0,4,1,0,4,2,5,5,0,0,3,1,5,7
E00001170,B,0,3,3,2,3,3,3,5,7,7,3,2,2,3,2,6,3,4,0,5,0,2,4,1,6,5,5,6,1,1,3
E00001171,F,7,4,0,6,2,2,0,3,0,0,5,7,2,1,7,5,7,0,4,1,0,4,7,4,1,5,5,6,1,5,3
E00001172,F,7,4,4,6,0,0,0,3,0,0,5,6,2,1,7,5,7,0,3,1,0,1,2,6,2,0,0,3,1,5,7
E00001173,F,7,4,4,6,0,0,0,1,4,2,5,6,2,1,7,5,6,0,6,1,0,1,2,6,1,0,0,3,1,5,7
E00001174,D,5,4,1,6,2,2,3,3,0,0,3,7,2,3,3,0,7,6,6,3,0,7,0,1,6,5,5,7,1,5,7
E00001175,F,7,4,4,6,0,0,0,1,4,2,5,0,2,1,7,5,2,0,3,1,0,1,2,6,2,0,5,3,1,5,7
E00001176,D,5,4,4,4,0,0,0,3,0,0,5,2,2,1,3,0,1,6,6,0,0,7,0,3,5,0,0,6,1,5,7
E00001177,C,5,4,4,6,2,2,5,5,7,7,3,0,2,3,4,7,3,6,4,3,0,4,6,5,3,5,5,7,1,5,7
E00001178,C,4,5,5,5,5,5,5,5,7,7,0,4,2,2,4,7,4,3,4,3,0,4,5,5,3,5,5,7,1,5,5
E00001179,C,4,5,5,5,5,5,5,5,7,7,6,4,2,2,4,7,4,3,4,3,0,4,5,5,3,5,0,3,1,5,7
E00001180,G,5,0,0,2,5,2,3,5,7,7,6,6,2,3,4,7,4,3,0,3,0,4,6,1,3,5,5,7,1,5,7
E00001181,C,4,5,4,6,0,0,0,1,4,2,6,4,2,2,4,7,4,0,4,1,0,4,5,6,1,0,0,3,1,5,7
E00001182,F,7,4,4,6,0,0,0,1,4,2,5,6,2,2,7,5,7,0,5,1,0,4,2,6,1,0,0,3,1,5,7
E00001183,H,2,4,4,6,0,0,0,1,4,2,5,5,2,2,6,3,5,0,3,4,0,1,2,6,2,0,0,3,1,5,7
E00001184,E,5,4,4,6,2,0,3,5,7,7,6,0,2,3,3,0,0,0,6,3,0,7,0,4,3,0,0,7,1,5,7
E00001185,C,4,5,5,5,5,5,5,5,7,0,6,4,2,2,4,7,4,3,4,3,0,4,5,5,3,5,5,3,1,5,7
E00001186,H,2,4,4,6,6,0,0,1,4,2,5,1,2,1,6,3,5,5,3,1,0,1,2,6,2,0,0,3,1,5,7
E00001187,C,2,5,5,5,5,0,5,5,7,7,6,6,2,2,4,7,4,0,4,1,0,4,5,6,0,5,5,3,1,5,7
E00001188,E,5,4,4,6,0,0,0,3,0,0,5,7,2,3,3,0,0,0,4,3,0,7,0,4,3,0,0,7,1,5,7
E00001189,G,5,0,0,2,2,2,3,5,7,7,3,6,2,3,3,0,0,6,4,3,0,7,7,1,3,5,0,6,1,5,3
E00001191,C,4,5,5,5,2,5,5,1,7,7,6,4,2,2,4,7,3,3,4,3,0,4,5,5,3,5,5,7,1,5,5
E00001192,F,1,4,4,6,0,2,0,6,0,0,5,7,2,1,7,5,7,0,6,1,0,7,7,4,1,0,5,6,1,5,7
E00001193,C,4,4,4,6,0,0,0,1,4,2,5,4,2,2,6,3,5,0,4,1,0,1,2,5,3,0,5,3,1,5,7
E00001194,B,5,2,4,4,2,2,3,5,7,7,5,2,2,3,3,0,0,6,0,3,0,7,7,4,6,0,0,6,1,5,3
E00001195,A,2,4,4,6,0,0,0,1,4,2,5,4,2,1,6,3,2,5,4,1,0,1,2,6,7,0,5,3,1,5,7
E00001196,F,5,0,0,6,2,2,0,5,7,7,5,0,2,3,3,0,3,0,6,3,0,7,6,4,3,5,5,7,1,5,7
E00001197,F,7,4,4,6,0,0,0,5,7,7,5,4,2,2,7,5,7,0,4,1,0,4,2,4,5,5,0,3,1,5,7
E00001198,F,1,4,4,6,2,2,0,3,0,0,5,4,2,1,7,5,7,0,4,1,0,5,7,4,1,5,5,6,1,5,7
E00001199,G,5,0,0,2,2,2,3,5,7,7,3,0,2,3,4,7,3,6,0,3,0,7,6,1,3,5,5,1,1,1,3
E00001200,C,4,4,4,6,0,0,0,1,4,2,5,5,2,2,4,7,7,0,3,7,0,1,2,5,7,0,0,3,1,5,7
E00001201,F,4,4,4,6,0,5,0,1,4,2,5,4,2,2,4,7,4,0,3,1,0,1,2,6,4,0,5,3,1,5,7
E00001202,F,4,4,4,6,5,5,0,5,7,7,6,6,2,2,4,7,4,0,4,3,0,4,5,5,3,5,5,7,1,5,7
E00001203,D,5,0,5,2,2,2,3,5,7,7,6,6,2,3,0,4,2,6,6,3,0,7,0,4,3,5,5,7,1,5,5
E00001204,G,5,0,0,5,2,2,0,5,7,7,6,4,2,3,7,5,7,0,4,3,0,7,7,4,3,5,5,6,1,5,7
E00001205,G,5,0,0,5,2,2,3,5,7,7,3,6,2,3,3,0,0,6,0,3,0,0,7,5,3,5,5,1,1,5,3
E00001206,F,3,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,7,5,4,1,0,7,7,4,7,0,0,6,0,5,7
E00001207,F,7,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,2,0,3,1,0,1,2,6,7,0,0,3,4,5,7
E00001208,H,2,6,6,6,6,6,0,1,4,7,0,3,2,4,6,3,5,5,3,4,0,1,2,2,2,4,7,3,4,6,7
E00001209,H,2,6,6,6,6,6,0,1,4,2,0,3,2,4,6,3,5,5,1,4,0,1,2,2,2,0,0,3,4,6,7
E00001210,F,7,4,4,6,0,0,0,1,4,2,0,4,2,4,7,5,7,0,3,1,0,1,2,6,4,0,0,3,4,5,7
E00001211,E,5,4,4,6,0,0,0,3,0,0,0,6,2,1,7,5,7,0,6,1,0,7,7,4,3,0,0,2,0,5,7
E00001212,F,7,4,4,6,0,0,0,1,4,2,0,5,2,6,7,5,7,0,3,1,0,1,2,6,5,0,0,3,0,5,7
E00001213,H,2,6,6,6,6,6,0,1,4,2,0,3,2,4,6,3,3,5,3,4,5,1,2,6,2,4,0,3,4,6,7
E00001214,F,1,4,4,6,6,0,0,1,4,2,0,4,2,1,7,5,6,5,6,1,5,5,7,4,1,0,0,2,4,5,7
E00001215,H,2,6,6,6,6,6,0,1,4,2,0,3,2,4,6,3,4,5,3,4,0,1,2,6,2,4,7,3,4,6,7
E00001216,F,2,4,6,6,6,6,0,1,4,2,0,5,2,4,6,3,5,5,3,1,0,1,2,6,2,0,0,3,4,6,7
E00001217,F,7,6,6,6,6,0,0,1,4,2,0,5,2,4,7,5,7,0,1,1,5,1,2,6,1,0,0,3,4,6,7
E00001218,H,2,6,6,7,6,6,6,1,4,2,0,3,2,4,6,3,5,5,7,4,0,1,2,2,2,4,7,3,4,6,7
E00001219,F,7,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,7,0,5,1,0,1,2,6,4,0,0,3,4,5,7
E00001220,F,7,4,4,6,0,0,0,1,4,2,0,6,2,6,7,5,3,0,2,1,0,1,1,6,0,0,0,3,4,5,7
E00001221,H,2,6,6,7,6,6,6,1,4,2,0,3,2,4,6,3,5,5,3,4,0,1,2,2,2,0,7,3,4,6,7
E00001222,F,7,4,4,6,0,0,0,1,4,0,0,4,2,1,7,5,7,0,1,1,0,1,2,6,7,0,0,3,4,5,7
E00001223,F,2,4,4,6,0,0,0,1,4,2,0,5,2,4,6,3,5,5,3,4,0,1,2,0,2,0,0,3,4,5,7
E00001224,F,7,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,7,0,1,1,0,1,2,6,4,0,0,3,4,5,7
E00001225,H,2,6,6,7,6,6,6,1,4,2,0,3,2,4,6,3,5,5,3,4,0,1,2,2,2,4,7,3,4,6,7
E00001226,F,2,6,6,6,6,6,0,1,4,2,0,4,2,4,6,3,5,5,3,1,0,1,2,6,2,0,0,3,4,6,7
E00001227,H,2,4,4,6,0,0,0,1,4,2,0,3,2,4,7,5,7,0,3,1,0,1,2,6,1,0,0,3,4,5,7
E00001228,F,7,4,4,6,0,0,0,0,4,2,0,5,2,6,7,5,7,0,3,1,0,1,2,6,7,0,0,3,4,5,7
E00001229,H,2,6,6,6,6,6,0,1,4,1,0,3,2,4,6,3,5,5,3,4,0,1,2,2,2,0,0,3,4,5,7
E00001230,F,7,4,4,6,0,0,0,1,4,2,5,4,2,1,7,5,3,0,3,1,0,1,2,6,4,0,0,3,4,5,7
E00001231,F,5,4,4,6,0,0,0,2,4,2,0,6,2,6,7,5,7,1,4,3,0,7,7,4,3,0,0,6,4,5,7
E00001232,E,5,4,4,6,0,0,0,6,2,3,0,0,2,6,7,5,7,0,6,3,0,7,0,4,3,0,0,6,4,5,7
E00001233,F,7,4,4,6,0,0,0,1,4,4,5,5,2,1,7,5,7,0,3,1,0,1,2,6,2,0,0,3,0,5,7
E00001234,F,1,4,4,6,6,6,0,1,4,2,0,5,2,4,7,5,7,5,3,1,0,1,2,6,2,4,0,6,4,5,7
E00001235,E,5,4,4,6,0,0,0,3,0,0,5,0,2,1,7,5,7,0,4,3,0,7,0,4,3,0,0,3,0,5,7
E00001236,F,2,6,6,6,6,6,0,1,4,2,0,5,2,6,6,3,5,5,3,1,0,1,2,6,2,0,0,3,4,5,7
E00001237,H,2,6,6,6,6,6,6,1,4,2,0,3,2,4,6,3,4,5,3,4,0,1,2,2,2,4,7,3,4,6,7
E00001238,H,2,6,6,6,6,6,0,1,4,0,0,6,2,6,7,5,2,5,3,1,0,1,2,0,2,0,7,3,4,5,7
E00001239,A,3,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,7,1,3,2,0,5,1,7,3,0,0,3,0,5,7
E00001240,F,7,4,4,6,0,0,0,1,4,2,0,4,2,6,7,5,7,0,3,1,0,1,2,6,5,0,0,3,4,5,7
E00001241,H,2,4,4,6,6,6,0,1,4,2,0,6,2,6,7,5,7,5,3,1,0,1,2,6,2,0,0,3,4,5,7
E00001242,F,7,4,4,6,0,0,0,1,4,2,0,5,2,6,7,5,7,0,3,1,0,1,2,6,3,0,0,3,4,5,7
